id,first_name,last_name,gender,drop_out,grade,age,class,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score
331,Sydney,Johnson,female,FALSE,1,25,Software Engineer,91,65,86,66,88,85,60
332,Carla,Lewis,female,FALSE,1,13,Designer,90,72,78,61,78,88,74
333,Jeffrey,Shannon,male,FALSE,1,31,Construction Engineer,87,100,86,60,80,78,96
334,Angela,Park,female,FALSE,3,8,Teacher,69,99,78,85,98,86,73
335,Brandon,Smith,male,TRUE,9,0,Business Owner,66,99,50,62,97,60,84
336,Kenneth,Moody,male,FALSE,7,6,Government Officer,65,95,78,65,74,69,63
337,Scott,Hughes,male,FALSE,2,7,Government Officer,83,81,88,82,97,83,74
338,Cody,Jimenez,male,FALSE,1,32,Lawyer,100,89,95,63,67,92,75
339,Allen,Farmer,male,FALSE,5,30,Software Engineer,85,70,78,66,69,62,100
340,James,Young,male,FALSE,9,4,Business Owner,45,98,95,66,84,83,100
341,Laura,Dawson,female,FALSE,5,15,Government Officer,73,75,94,82,71,90,75
342,Donald,Carson,male,FALSE,2,2,Game Developer,95,83,96,97,72,77,61
343,Wayne,Lane,male,FALSE,8,32,Lawyer,96,95,61,72,71,83,96
344,Robert,Johnson,male,FALSE,2,24,Construction Engineer,94,72,96,93,93,79,64
345,Melissa,Le,female,FALSE,1,18,Teacher,92,69,69,60,90,88,95
346,David,Rice,male,TRUE,10,5,Business Owner,56,52,76,95,54,59,85
347,Dawn,Gomez,female,TRUE,3,24,Banker,85,74,65,76,100,95,68
348,Ricky,Nichols,male,FALSE,1,16,Designer,65,90,68,99,74,82,86
349,Henry,Pitts,male,FALSE,1,15,Writer,64,81,95,87,86,91,80
350,Christopher,Price,male,FALSE,3,26,Software Engineer,100,88,94,67,62,66,96
351,Aimee,Adams,female,FALSE,3,15,Teacher,76,64,64,60,75,92,61
352,Tammy,Barry,female,FALSE,1,5,Game Developer,97,76,91,76,89,60,85
353,Ryan,Hull,male,FALSE,1,14,Data Science,95,98,98,83,77,93,83
354,Samuel,Jackson,male,FALSE,4,1,Game Developer,85,64,90,94,68,97,61
355,Joshua,Smith,male,FALSE,5,10,Construction Engineer,86,91,96,60,91,73,88
356,Sydney,Stevenson,female,FALSE,6,5,Business Owner,100,58,58,100,60,52,82
357,Christopher,Rios,male,FALSE,2,26,Data Science,65,77,66,100,88,77,62
358,Brenda,Collins,female,FALSE,2,26,Lawyer,71,81,99,74,74,82,67
359,Diana,Griffin,female,FALSE,2,14,Government Officer,80,94,97,83,84,77,79
360,Gary,Gray,male,FALSE,7,21,Construction Engineer,91,76,96,77,99,64,83
361,Kimberly,Torres,female,FALSE,2,32,Software Engineer,91,87,88,82,95,70,87
362,Jeffrey,Booker,male,FALSE,0,30,Software Engineer,100,86,81,100,66,98,97
363,Nicole,Buchanan,female,FALSE,3,13,Teacher,92,79,71,65,99,91,98
364,Kristin,Johnson,female,FALSE,7,33,Banker,89,76,95,83,84,96,61
365,Emily,Bell,female,FALSE,3,15,Accountant,93,92,92,76,49,93,75
366,Francis,Nelson,male,FALSE,10,33,Data Science,81,64,67,74,65,94,96
367,Tracy,Harris,male,FALSE,2,11,Designer,70,73,70,67,96,86,89
368,Sheila,Sosa,female,FALSE,2,30,Data Science,61,70,89,97,60,79,79
369,Ashley,Mendez,female,FALSE,7,2,Business Owner,62,53,78,77,59,95,80
370,Matthew,Griffin,male,FALSE,3,4,Stock Investor,83,61,79,99,66,60,76
371,Timothy,Mann,male,FALSE,3,32,Software Engineer,85,96,87,63,69,69,81
372,Christine,Foster,female,TRUE,7,0,Business Owner,83,55,87,74,73,77,61
373,Julie,Yates,female,FALSE,2,4,Business Owner,73,95,54,94,99,58,94
374,William,Ballard,male,TRUE,10,0,Business Owner,61,65,73,78,77,97,96
375,Kristen,Adams,female,FALSE,5,21,Data Science,77,72,81,63,69,73,80
376,Chelsea,Mitchell,female,FALSE,2,29,Writer,77,87,65,91,71,90,90
377,Patrick,Everett,male,FALSE,3,32,Data Science,99,94,94,62,68,79,68
378,Carla,Parker,female,FALSE,7,14,Data Science,73,69,94,78,76,63,71
379,Casey,Galvan,male,FALSE,1,25,Lawyer,95,89,96,89,60,99,93
380,Eric,Moran,male,FALSE,7,4,Data Science,94,79,92,100,93,63,98
381,Tabitha,Hudson,female,FALSE,2,32,Stock Investor,75,83,85,65,76,94,60
382,Lance,Salazar,male,FALSE,2,7,Data Science,66,83,77,91,84,74,62
383,Melissa,Williamson,female,TRUE,1,22,Software Engineer,91,79,89,74,79,74,61
384,James,Castro,male,FALSE,5,3,Data Science,81,61,75,65,90,92,80
385,Joseph,Johnson,male,TRUE,8,1,Business Owner,71,69,69,67,70,78,66
386,Gene,Woodward,male,FALSE,4,23,Writer,77,94,97,77,63,98,98
387,Patricia,Watson,female,FALSE,0,42,Doctor,91,87,93,85,98,85,95
388,John,Carey,male,FALSE,1,30,Scientist,83,98,100,93,100,77,76
389,Sara,Cochran,female,FALSE,1,1,Business Owner,75,51,70,84,66,64,88
390,Jamie,Suarez,female,TRUE,3,17,Software Engineer,86,96,68,71,86,94,89
391,Steven,Frazier,male,FALSE,2,48,Doctor,86,88,89,89,98,89,96
392,Nicholas,Hart,male,FALSE,4,24,Software Engineer,85,67,60,82,77,72,72
393,Cheryl,Arias,female,FALSE,6,31,Writer,62,81,80,88,78,94,85
394,Marc,Brock,male,TRUE,7,0,Business Owner,100,65,67,61,76,58,84
395,Timothy,Perez,male,FALSE,9,2,Business Owner,79,86,97,60,66,74,96
396,Courtney,Rodriguez,female,FALSE,1,24,Lawyer,99,97,68,85,86,85,73
397,Samantha,Clark,female,FALSE,7,2,Business Owner,46,65,97,100,56,73,95
398,Francisco,Reilly,male,FALSE,0,32,Software Engineer,85,97,88,61,80,80,84
399,Denise,Young,female,FALSE,2,4,Government Officer,85,68,89,64,79,66,66
400,Darrell,Williams,male,FALSE,4,32,Software Engineer,85,87,91,63,95,88,62
401,Andrew,Smith,male,FALSE,3,16,Stock Investor,99,86,90,100,96,77,60
402,Teresa,Stafford,female,FALSE,1,20,Banker,84,92,63,91,89,92,76
403,Cory,Harris,male,FALSE,4,28,Construction Engineer,85,72,87,72,68,85,78
404,Douglas,Irwin,male,FALSE,7,30,Software Engineer,100,79,92,92,67,68,72
405,Deborah,Miller,female,FALSE,3,17,Banker,86,61,68,91,60,86,62
406,Autumn,Hernandez,female,FALSE,5,25,Data Science,79,70,71,95,79,77,68
407,Paul,Serrano,male,FALSE,5,18,Accountant,76,82,76,71,70,89,76
408,Matthew,Griffin,male,TRUE,1,23,Software Engineer,96,63,69,67,69,92,77
409,Evan,Holmes,male,FALSE,4,23,Software Engineer,100,77,75,74,80,94,74
410,Cynthia,Baker,female,FALSE,6,21,Software Engineer,88,84,87,97,94,87,85
411,Sandra,Melendez,female,FALSE,3,27,Software Engineer,96,76,98,89,93,85,75
412,Claudia,Munoz,female,FALSE,5,14,Software Engineer,92,66,96,71,87,89,61
413,Christopher,Nguyen,male,FALSE,2,37,Doctor,87,93,99,100,97,92,90
414,David,Jennings,male,FALSE,3,29,Accountant,95,82,74,87,36,61,88
415,Joel,Morris,male,TRUE,6,4,Business Owner,44,76,56,71,66,54,91
416,Rhonda,Bradley,female,FALSE,3,16,Banker,78,89,68,63,81,92,97
417,Melissa,Brown,female,FALSE,4,30,Accountant,95,78,93,85,48,68,75
418,Matthew,Kramer,male,TRUE,7,1,Business Owner,57,56,53,75,98,92,73
419,Austin,Bass,male,FALSE,3,24,Software Engineer,86,99,95,94,92,90,77
420,Jennifer,West,female,FALSE,2,35,Writer,92,97,100,91,95,90,95
421,Patricia,Mccormick,female,FALSE,1,14,Teacher,69,69,84,100,69,77,87
422,Sandra,Jacobs,female,FALSE,1,3,Designer,91,62,75,60,82,91,96
423,Jasmine,Clark,female,FALSE,4,15,Accountant,79,79,97,78,31,99,84
424,Jeffrey,Young,male,FALSE,5,23,Software Engineer,93,96,80,64,91,68,71
425,Jason,Hernandez,male,FALSE,6,19,Data Science,90,79,90,73,76,68,95
426,Christopher,Hamilton,male,FALSE,3,33,Doctor,99,68,100,95,95,88,83
427,Monique,Peterson,female,FALSE,0,14,Banker,90,69,81,92,65,89,69
428,Jill,Sexton,female,FALSE,1,0,Artist,71,84,66,75,93,84,69
429,Jennifer,Kemp,female,FALSE,1,34,Lawyer,98,93,67,74,81,87,76
430,David,Harris,male,FALSE,5,33,Scientist,94,99,83,94,93,95,93
431,Cheryl,Snyder,female,FALSE,7,7,Stock Investor,92,89,79,76,86,61,81
432,Nathan,Armstrong,male,FALSE,2,18,Software Engineer,100,96,74,61,87,94,60
433,Patrick,Ryan,male,FALSE,9,4,Business Owner,48,55,86,51,54,94,61
434,Christian,Wilkins,male,FALSE,6,10,Real Estate Developer,63,87,71,68,66,67,99
435,Clinton,Martin,male,TRUE,2,22,Software Engineer,89,83,89,91,94,93,69
436,Adriana,Sandoval,female,FALSE,5,28,Stock Investor,88,90,93,81,88,90,74
437,Jeremy,Harvey,male,FALSE,2,2,Real Estate Developer,98,87,67,97,62,60,79
438,Caitlin,Murillo,female,FALSE,1,0,Business Owner,92,86,88,75,60,50,79
439,Andrew,Green,male,FALSE,3,24,Doctor,80,60,100,99,98,75,94
440,Rodney,Bennett,male,FALSE,2,15,Construction Engineer,92,63,91,65,69,94,98
441,Megan,Moyer,female,TRUE,2,1,Artist,82,95,68,64,97,99,60
442,Mathew,Burns,male,FALSE,1,8,Stock Investor,84,74,74,75,99,99,85
443,Tammie,Stanley,female,FALSE,7,9,Teacher,61,70,65,67,93,81,63
444,James,Glover,male,FALSE,4,33,Software Engineer,99,87,98,76,65,94,67
445,Michelle,Reeves,female,FALSE,3,32,Accountant,83,69,90,78,39,95,82
446,Rhonda,Hall,female,TRUE,9,4,Business Owner,56,90,95,59,91,77,99
447,Matthew,Kidd,male,FALSE,2,2,Business Owner,65,64,52,56,63,82,83
448,Joseph,Stone,male,FALSE,3,20,Designer,94,61,77,73,79,65,89
449,Jessica,Mendoza,female,FALSE,1,21,Software Engineer,90,96,73,89,93,87,96
450,Susan,Brown,female,FALSE,3,29,Lawyer,94,82,81,90,76,97,86
451,Lori,Ryan,female,FALSE,3,13,Data Science,89,87,63,83,64,85,72
452,Ryan,Cruz,male,FALSE,1,24,Accountant,89,67,68,93,98,75,88
453,Nicholas,Johnson,male,FALSE,7,30,Doctor,88,98,87,85,96,77,96
454,Joseph,Schmidt,male,FALSE,1,25,Stock Investor,76,94,90,75,92,86,87
455,Daniel,Brown,male,FALSE,1,1,Designer,88,78,84,96,92,99,97
456,Harold,Vazquez,male,FALSE,4,27,Software Engineer,88,76,80,72,100,69,71
457,Lance,Parsons,male,FALSE,0,4,Real Estate Developer,54,88,82,89,72,60,69
458,Jill,Mathews,female,FALSE,2,32,Banker,87,87,76,67,68,89,77
459,Crystal,Nguyen,female,FALSE,1,1,Artist,95,73,79,81,82,69,100
460,Susan,Perez,female,FALSE,2,32,Designer,72,72,68,81,95,90,99
461,Brenda,Powers,female,FALSE,1,4,Real Estate Developer,95,76,70,89,88,87,62
462,Samuel,Thompson,male,FALSE,4,28,Software Engineer,91,97,86,77,83,79,62
463,Taylor,Nelson,female,FALSE,3,32,Lawyer,79,81,63,79,96,96,89
464,Kimberly,West,female,FALSE,1,33,Doctor,80,71,94,92,92,60,78
465,Brad,Lee,male,TRUE,2,4,Business Owner,86,90,88,73,50,93,71
466,Clayton,Green,male,FALSE,1,31,Software Engineer,88,88,90,67,77,83,64
467,Richard,Anderson,male,FALSE,5,17,Construction Engineer,83,95,86,80,64,66,97
468,Antonio,Flores,male,FALSE,2,23,Doctor,84,84,80,97,87,97,91
469,Margaret,Mullins,female,FALSE,0,29,Software Engineer,85,82,81,85,72,90,71
470,Michael,Ball,male,FALSE,2,19,Software Engineer,91,85,96,83,74,87,74
471,Allen,Booth,male,TRUE,4,26,Banker,83,71,94,60,63,93,67
472,Stephanie,Clark,female,FALSE,7,7,Real Estate Developer,97,93,99,98,96,79,88
473,Sharon,Nelson,female,FALSE,6,4,Real Estate Developer,63,68,92,73,66,69,87
474,Marco,Clark,male,FALSE,6,22,Doctor,92,98,90,82,86,86,89
475,Victor,Smith,male,TRUE,6,4,Business Owner,78,78,64,94,79,92,63
476,Christina,Patterson,female,FALSE,3,29,Lawyer,78,90,69,100,90,91,90
477,Jerry,Knight,male,FALSE,8,21,Stock Investor,89,60,93,79,72,76,85
478,Madison,Jacobs,female,FALSE,3,5,Real Estate Developer,53,87,100,84,63,62,95
479,Douglas,Watson,male,FALSE,5,15,Data Science,63,84,60,85,91,83,84
480,Manuel,Barrett,male,FALSE,3,10,Data Science,100,98,71,100,71,92,63
481,Janet,Martin,female,TRUE,7,2,Business Owner,79,54,81,87,67,74,85
482,Teresa,Flores,female,FALSE,4,0,Real Estate Developer,93,77,71,62,94,69,72
483,Anthony,Mullins,male,FALSE,5,3,Artist,97,88,67,72,83,87,62
484,Julie,Zamora,female,FALSE,6,1,Data Science,76,82,93,98,98,60,65
485,Maria,Nguyen,female,FALSE,3,26,Accountant,84,83,80,91,88,61,61
486,Selena,Castro,female,TRUE,5,2,Business Owner,56,96,65,61,78,77,95
487,Whitney,Miller,female,FALSE,3,21,Data Science,97,89,94,91,95,70,75
488,Brenda,Mooney,female,FALSE,10,5,Business Owner,67,60,97,53,93,78,81
489,Angela,Allen,female,TRUE,10,5,Business Owner,97,93,64,74,94,74,76
490,Erica,Cohen,female,FALSE,5,0,Business Owner,100,67,50,78,73,90,91
491,Kelly,Sanders,female,FALSE,5,10,Teacher,83,61,76,75,62,79,94
492,Michael,Clark,male,FALSE,5,2,Artist,85,63,83,83,69,94,80
493,Tammy,Fields,female,FALSE,5,24,Banker,100,96,97,64,76,77,61
494,Steven,Pennington,male,FALSE,4,46,Doctor,92,98,99,86,100,86,87
495,Matthew,Chavez,male,FALSE,3,31,Writer,88,98,65,68,99,94,79
496,Stephen,Gallagher,male,FALSE,1,33,Lawyer,95,82,62,76,64,91,79
497,Victoria,Anderson,female,FALSE,5,26,Stock Investor,76,81,84,80,80,84,70
498,Thomas,Schroeder,male,FALSE,2,19,Accountant,79,93,72,97,69,78,87
499,Mark,Sanchez,male,FALSE,3,25,Software Engineer,93,70,84,68,71,85,70
500,Katelyn,Moses,female,FALSE,3,24,Accountant,79,96,78,90,94,76,88
501,Corey,Davis,male,FALSE,1,21,Stock Investor,98,99,72,100,94,77,84
502,Susan,Klein,female,TRUE,8,0,Business Owner,93,99,81,67,87,76,60
503,John,Martinez,male,FALSE,4,30,Banker,91,79,78,95,86,89,100
504,Kendra,Robertson,female,FALSE,4,32,Software Engineer,86,99,77,61,72,92,70
505,Tamara,Olson,female,FALSE,8,15,Data Science,81,80,85,93,68,75,90
506,Sara,Frazier,female,FALSE,6,15,Government Officer,97,94,94,83,91,65,96
507,Morgan,Moore,female,FALSE,3,4,Game Developer,90,95,89,93,92,99,88
508,Eric,Snyder,male,FALSE,1,27,Software Engineer,90,91,62,82,76,70,64
509,Paul,Hale,male,FALSE,5,33,Construction Engineer,82,92,95,61,84,81,82
510,Dale,Martinez,male,FALSE,7,25,Software Engineer,91,94,89,74,60,77,77
511,Sandra,Prince,female,FALSE,0,29,Lawyer,70,94,67,74,84,95,65
512,Dawn,Poole,female,FALSE,2,13,Data Science,60,75,70,96,63,82,80
513,Emily,Jordan,female,FALSE,3,49,Doctor,85,96,99,94,95,92,95
514,John,Owen,male,FALSE,6,34,Lawyer,82,85,72,69,63,99,68
515,Andrew,Best,male,TRUE,4,28,Construction Engineer,83,79,92,69,85,71,95
516,Holly,Burns,female,FALSE,2,44,Doctor,96,88,100,95,85,94,93
517,Alicia,Rodriguez,female,FALSE,1,14,Software Engineer,85,87,78,72,91,88,93
518,Erin,Ray,female,FALSE,4,1,Real Estate Developer,95,61,84,98,63,66,80
519,Todd,Griffith,male,FALSE,6,22,Software Engineer,97,92,87,61,75,62,94
520,Melinda,Payne,female,FALSE,2,11,Teacher,95,69,91,97,89,84,66
521,Cynthia,Williams,female,FALSE,3,2,Data Science,69,98,77,63,88,64,60
522,Jenny,Washington,female,FALSE,9,3,Business Owner,84,55,65,62,56,91,81
523,Angela,Joyce,female,FALSE,5,28,Banker,92,100,100,98,83,75,72
524,William,Alvarado,male,TRUE,2,0,Business Owner,87,95,78,82,53,59,66
525,Michael,Mercer,male,FALSE,5,22,Banker,97,87,90,70,96,75,93
526,Erin,Miller,female,TRUE,8,3,Business Owner,92,96,77,95,63,57,90
527,Robert,Heath,male,FALSE,2,25,Data Science,72,91,68,79,98,71,89
528,Deborah,Rojas,female,FALSE,3,1,Business Owner,50,55,96,72,55,50,64
529,Diana,Jones,female,FALSE,7,37,Doctor,97,96,93,94,91,96,87
530,Meredith,Clark,female,FALSE,3,28,Software Engineer,89,77,69,72,63,84,99
531,Christina,Garrett,female,FALSE,3,30,Scientist,77,76,90,95,94,99,94
532,Daniel,Jackson,male,FALSE,1,19,Stock Investor,91,89,66,69,100,88,79
533,Bradley,Robinson,male,TRUE,7,2,Business Owner,64,92,70,81,85,55,76
534,Phyllis,Schneider,female,TRUE,4,26,Data Science,71,87,63,73,89,77,66
535,Thomas,Clark,male,FALSE,10,0,Business Owner,56,79,74,66,92,57,61
536,Gregory,Gonzalez,male,FALSE,4,5,Game Developer,87,70,98,64,65,78,83
537,Michelle,Roth,female,FALSE,0,17,Software Engineer,99,69,85,91,77,88,75
538,Christopher,Murphy,male,FALSE,2,26,Lawyer,98,88,76,72,92,81,89
539,Mark,Davis,male,FALSE,2,32,Data Science,87,83,74,61,81,72,98
540,Lauren,Harrington,female,FALSE,6,16,Software Engineer,88,96,90,92,68,97,73
541,Michelle,Owens,female,TRUE,8,2,Business Owner,71,52,53,64,89,76,70
542,Scott,Weaver,male,FALSE,2,35,Construction Engineer,96,90,91,95,99,95,99
543,Monica,Williams,female,FALSE,0,17,Accountant,81,95,99,65,56,79,98
544,Kathryn,Hampton,female,FALSE,9,3,Business Owner,94,92,63,84,79,66,96
545,Christina,Shields,female,TRUE,3,47,Doctor,94,87,98,90,92,88,100
546,Andrew,Thomas,male,FALSE,0,29,Lawyer,98,87,75,63,85,88,75
547,Holly,Sexton,female,FALSE,10,5,Business Owner,100,58,54,97,58,51,80
548,Christopher,Peterson,male,FALSE,3,12,Designer,66,89,65,99,84,84,86
549,Eric,Murray,male,FALSE,2,35,Doctor,94,99,97,94,85,97,97
550,Kristina,Watson,female,TRUE,0,3,Game Developer,83,90,93,89,64,63,82
551,Greg,Martin,male,TRUE,8,2,Business Owner,92,54,50,88,90,91,95
552,Paul,Shaffer,male,FALSE,10,35,Software Engineer,93,100,90,94,97,98,98
553,Alexander,Daniel,male,TRUE,1,7,Government Officer,69,92,84,98,98,83,87
554,Carla,Davis,female,FALSE,4,15,Software Engineer,94,71,63,73,66,90,91
555,Chelsea,Clark,female,FALSE,1,3,Stock Investor,100,92,95,90,67,81,66
556,Justin,Douglas,male,FALSE,2,35,Data Science,96,92,98,100,94,93,86
557,Charles,Reid,male,FALSE,3,28,Lawyer,76,87,99,69,89,93,85
558,Courtney,Moreno,female,FALSE,9,4,Business Owner,77,62,94,65,77,77,95
559,Justin,Mitchell,male,FALSE,1,4,Artist,84,67,79,60,69,80,98
560,Bruce,Woods,male,FALSE,3,16,Software Engineer,95,61,68,75,64,76,66
561,Christopher,Hines,male,FALSE,1,26,Accountant,90,64,94,84,66,61,72
562,Theodore,Williams,male,FALSE,3,30,Data Science,96,89,73,75,99,89,71
563,Jennifer,Valdez,female,TRUE,6,2,Business Owner,80,81,92,73,71,71,84
564,Alexandra,Day,female,FALSE,2,34,Software Engineer,87,83,75,73,92,91,71
565,John,Pacheco,male,FALSE,10,0,Business Owner,94,75,91,64,67,93,65
566,Sherry,Brown,female,FALSE,10,3,Artist,87,82,88,100,73,96,75
567,Douglas,Clark,male,FALSE,2,30,Software Engineer,95,97,88,77,96,96,74
568,Alex,Farmer,male,TRUE,3,15,Construction Engineer,85,96,82,64,82,94,81
569,Brandon,Gonzales,male,FALSE,8,1,Business Owner,67,65,77,72,94,88,77
570,Wayne,Trevino,male,FALSE,3,6,Government Officer,84,100,92,82,85,70,69
571,Pamela,Horne,female,FALSE,7,1,Game Developer,83,88,90,100,71,98,96
572,Michael,Schaefer,male,TRUE,9,5,Business Owner,67,78,68,51,77,72,78
573,Carlos,Ramirez,male,FALSE,1,30,Banker,75,92,72,88,92,77,84
574,Antonio,Lucero,male,FALSE,3,8,Government Officer,67,76,70,73,81,85,80
575,Terry,Ashley,male,TRUE,9,5,Business Owner,67,54,51,72,75,60,88
576,Rita,Cochran,female,FALSE,1,5,Artist,72,91,78,97,86,93,77
577,Joseph,Gregory,male,FALSE,4,4,Government Officer,78,98,76,68,86,91,82
578,Alexandra,Robinson,female,FALSE,1,47,Doctor,85,87,92,96,92,90,88
579,Tina,Sparks,female,FALSE,3,16,Stock Investor,100,70,69,61,100,65,81
580,Christopher,Buchanan,male,TRUE,5,3,Business Owner,56,59,89,68,79,83,68
581,Christina,Guerrero,female,FALSE,5,32,Scientist,93,75,83,99,100,91,74
582,Jessica,Hutchinson,female,FALSE,2,31,Banker,89,91,85,69,76,92,94
583,Tyler,Carrillo,male,FALSE,3,6,Real Estate Developer,59,88,74,92,72,97,64
584,Lindsay,Brady,female,FALSE,3,16,Data Science,99,70,74,65,99,74,62
585,Gary,Rivera,male,FALSE,6,34,Lawyer,89,89,85,74,78,87,82
586,Luke,Moore,male,FALSE,3,26,Software Engineer,86,63,78,78,80,67,97
587,Tanya,Green,female,FALSE,6,21,Banker,79,65,91,65,61,88,95
588,Bryan,Lee,male,FALSE,3,46,Doctor,96,89,91,90,90,91,99
589,Melanie,Bridges,female,FALSE,6,48,Doctor,95,90,85,90,96,89,96
590,Eric,Bowers,male,TRUE,1,46,Doctor,96,85,90,95,100,96,88
591,Meredith,Reed,female,TRUE,3,28,Data Science,95,80,64,97,85,94,60
592,David,Brown,male,TRUE,4,2,Data Science,80,62,84,95,71,85,87
593,William,Johns,male,TRUE,0,32,Stock Investor,86,70,73,85,67,91,98
594,Eric,Patton,male,TRUE,10,5,Business Owner,42,95,99,61,62,77,99
595,Wendy,Warner,female,FALSE,4,31,Lawyer,80,93,93,94,81,81,78
596,Timothy,Powell,male,FALSE,4,1,Artist,79,97,100,94,65,62,76
597,Victoria,Thompson,female,TRUE,9,4,Business Owner,43,63,91,67,74,71,88
598,Jeremy,Brown,male,FALSE,2,8,Real Estate Developer,58,84,95,66,99,91,70
599,Barbara,Schneider,female,FALSE,3,23,Accountant,86,73,83,93,46,91,70
600,Lindsay,Morales,female,FALSE,1,23,Doctor,96,91,97,84,89,82,75
601,Gary,Patel,male,FALSE,1,28,Lawyer,91,88,98,89,75,91,92
602,Michelle,Ortiz,female,FALSE,1,7,Data Science,85,62,77,62,80,88,83
603,Susan,Lynch,female,FALSE,0,5,Artist,87,91,93,92,97,95,99
604,Tammy,Hernandez,female,FALSE,2,4,Data Science,60,91,85,67,98,61,64
605,Jennifer,Guerra,female,FALSE,2,26,Data Science,76,85,67,60,100,63,64
606,Kelly,Schwartz,female,FALSE,4,33,Lawyer,84,89,74,79,86,93,95
607,Brittany,Orozco,female,FALSE,4,34,Lawyer,87,94,74,84,77,82,85
608,Samantha,Alvarado,female,TRUE,4,16,Accountant,82,79,64,75,93,82,60
609,Christopher,Anderson,male,FALSE,4,3,Business Owner,64,61,73,70,87,75,100
610,William,Smith,male,FALSE,3,25,Lawyer,77,80,88,84,84,92,82
611,Courtney,Patterson,female,FALSE,0,4,Stock Investor,86,82,90,69,66,93,94
612,Kevin,Hess,male,FALSE,0,4,Real Estate Developer,81,84,76,88,84,89,87
613,Melissa,Higgins,female,FALSE,3,21,Software Engineer,91,90,92,78,67,86,71
614,Elizabeth,Chavez,female,FALSE,7,4,Business Owner,72,99,61,67,95,98,89
615,Mary,Taylor,female,FALSE,3,24,Writer,80,70,80,96,72,99,65
616,Joshua,Parker,male,FALSE,2,16,Data Science,90,89,98,70,79,60,92
617,Joshua,Kelly,male,FALSE,10,2,Business Owner,72,51,52,98,50,90,63
618,Travis,Ross,male,FALSE,3,35,Software Engineer,93,85,89,93,90,91,88
619,Kenneth,Buchanan,male,FALSE,2,24,Doctor,95,85,90,94,91,84,85
620,Ryan,Clarke,male,FALSE,2,46,Doctor,86,93,89,90,100,86,93
621,Gina,Solomon,female,FALSE,6,1,Business Owner,89,55,89,67,55,64,70
622,David,Madden,male,FALSE,5,26,Data Science,90,75,67,85,64,95,96
623,William,Brennan,male,FALSE,1,5,Data Science,79,95,81,67,66,71,66
624,Judy,Mckenzie,female,TRUE,5,17,Teacher,86,88,98,66,62,95,90
625,Logan,Lindsey,male,FALSE,3,4,Artist,83,78,68,72,77,89,70
626,Kyle,Williams,male,FALSE,6,27,Lawyer,85,92,62,95,65,89,95
627,Mark,Padilla,male,FALSE,3,0,Artist,66,78,86,87,64,65,64
628,Eugene,Clark,male,FALSE,6,16,Accountant,93,80,60,62,43,68,67
629,Sean,Wagner,male,FALSE,6,14,Data Science,65,89,79,95,71,61,62
630,Christine,Larson,female,TRUE,2,5,Real Estate Developer,52,66,98,83,92,82,91
631,Melinda,Freeman,female,FALSE,3,31,Banker,90,80,84,70,65,89,64
632,Elizabeth,Smith,female,FALSE,2,4,Artist,83,89,99,100,73,86,88
633,Walter,King,male,FALSE,1,5,Artist,62,89,72,68,85,80,75
634,Lisa,Bean,female,FALSE,1,11,Writer,98,72,99,84,60,95,93
635,Douglas,Hayes,male,FALSE,8,12,Data Science,76,75,74,67,76,82,79
636,Heather,Jefferson,female,FALSE,0,5,Game Developer,97,62,98,70,67,71,70
637,Melinda,Byrd,female,TRUE,6,1,Business Owner,63,60,95,99,87,58,66
638,Alexander,Burnett,male,FALSE,5,2,Artist,98,99,64,88,72,87,99
639,Maria,Campos,female,TRUE,10,1,Business Owner,78,84,84,61,88,67,92
640,Lindsey,Anthony,female,FALSE,2,30,Stock Investor,85,77,89,77,84,71,71
641,Darryl,Schultz,male,FALSE,6,0,Business Owner,59,100,84,93,70,56,74
642,Bethany,French,female,FALSE,2,6,Data Science,99,77,88,60,93,61,96
643,Tyler,Scott,male,FALSE,6,24,Accountant,76,62,86,80,47,85,71
644,Patricia,Hall,female,FALSE,7,26,Lawyer,80,90,85,89,85,80,68
645,Ryan,Williams,male,FALSE,7,0,Business Owner,82,74,92,50,77,98,100
646,Levi,Mason,male,FALSE,1,18,Software Engineer,89,64,72,61,75,68,83
647,Michael,Vang,male,FALSE,4,20,Software Engineer,89,79,75,80,97,94,68
648,April,Humphrey,female,FALSE,0,23,Software Engineer,86,89,94,95,60,90,90
649,Steven,Hancock,male,TRUE,4,4,Business Owner,65,76,92,86,93,61,97
650,Chelsea,Olson,female,FALSE,4,30,Banker,77,95,77,84,60,90,89
651,Emily,Huang,female,FALSE,4,34,Banker,88,85,68,62,64,99,66
652,Rachel,Jones,female,FALSE,1,26,Accountant,98,77,94,87,44,85,61
653,Philip,Walker,male,FALSE,5,27,Lawyer,84,86,90,80,72,99,85
654,Laura,Rivera,female,FALSE,1,18,Software Engineer,91,85,66,83,70,71,80
655,Pamela,Henry,female,FALSE,4,39,Doctor,97,95,94,90,86,85,95
656,Nicole,Davidson,female,FALSE,7,29,Banker,77,88,63,87,71,93,84
657,Jeffery,Parker,male,FALSE,0,27,Doctor,100,84,93,96,97,70,95
658,Christopher,Banks,male,TRUE,3,17,Software Engineer,93,70,62,99,63,83,60
659,Tara,Griffin,female,TRUE,5,31,Banker,93,99,79,78,64,87,76
660,Lisa,Lloyd,female,TRUE,4,13,Banker,94,89,74,75,73,78,61
661,Elizabeth,Maldonado,female,FALSE,4,12,Banker,88,86,79,93,68,92,99
